Title,Release Date,Team,Rating,Summary,Genre 1,Genre 2,Times Listed Clean,Number of Reviews Clean,Plays Clean,Backlogs Clean,Wishlist Clean
Crash Team Racing Nitro-Fueled,2019-06-21,"Activision Blizzard, Beenox",3.9,"Crash Team Racing Nitro-Fueled is a kart racing game developed by Beenox and published by Activision. It is a remaster of Crash Team Racing, which was originally developed by Naughty Dog for the PlayStation.",Arcade, Racing,408,408,2500,391,294
Mega Man X6,2001-11-29,Capcom,2.3,"Mission Critical... Zero is Missing... Search and Rescue!
             

              It's been three weeks since Earth's near collision with the space colony Eurasia. The disaster was averted by Zero's heroics. Now, on a bruised and battered planet, tales of rampaging reploids are surfacing. It's up to Mega Man X to investigate these mysteries but it's not going to be easy. Mega Man X must battle through a maze of levels and rescue reploids along the way. Return to battle again and again with the new Nightmare System, which randomizes level maps, enemies, and endings based on how you play the game. Mega Man X is back and now it's personal!",Adventure, Platform,308,308,1900,461,119
Slender: The Eight Pages,2012-06-26,Parsec Productions,2.0,"Slender is a first person horror game created by Parsec Productions where your only goal is to find 8 manuscripts about the Slender Man, a paranormal creature.",Adventure, Indie,123,123,2700,73,50
Mark of the Ninja,2012-09-07,"Klei Entertainment, Microsoft Studios",3.8,"Mark of the Ninja is a side-scrolling action stealth video game developed by Klei Entertainment and published by Microsoft Studios. It was announced on February 28, 2012 and later released for the Xbox 360 via Xbox Live Arcade on September 7, 2012. A Microsoft Windows version was released on October 16, 2012. It follows the story of a nameless ninja in the present day, and features a themed conflict between ancient ninja tradition and modern technology. Cutscenes for the game are rendered in Saturday morning cartoon animation style.",Adventure, Indie,193,193,1900,507,191
Octodad: Dadliest Catch,2014-01-30,Young Horses,3.2,"Octodad: Dadliest Catch is a game about destruction, deception, and fatherhood. The player controls Octodad, a dapper octopus masquerading as a human, as he goes about his life. Octodad's existence is a constant struggle, as he must master mundane tasks with his unwieldy boneless tentacles while simultaneously keeping his cephalopodan nature a secret from his human family.",Adventure, Indie,169,169,2500,407,180
Dragon Ball Z: Budokai Tenkaichi,2005-10-06,"Spike, Bandai",2.9,"Dragon Ball Z: Budokai Tenkaichi lets you play as more than 60 characters from the Dragon Ball Z TV series. You can battle using authentic special attacks of each character as you run, fly, and swim through fully destructible and free-roaming levels. Design your own character by assigning and upgrading 10 different attributes. Dragon Ball Z: Budokai Tenkaichi has multiple game modes for both one and two players.",Fighting,,96,96,1700,69,29
The King of Fighters XV,2022-02-16,"SNK Corporation, SNK",4.0,"The King of Fighters XV, is the fifteenth installment of The King of Fighters series. Transcend beyond your limits with KOF XV! Classic popular characters, heroes and villains revived from the dead, new challengers, and more!",Fighting,,226,226,718,164,271
Killing Floor 2,2016-11-18,"Tripwire Interactive, Deep Silver",3.1,"In Killing Floor 2 players descend into Europe where the Zed outbreak has quickly spread and gained unstoppable momentum. Just one month after the conclusion of the events in the original Killing Floor, the clones are everywhere and civilization is in disarray; governments have collapsed, and military forces are gone.",Shooter,,195,195,2800,501,66
Ape Escape 3,2005-07-14,"SCE Japan Studio, Sony Computer Entertainment Europe",4.3,"Kei and Yumi take the lead as the new heroes. Their quest is to capture all 400 monkeys. You control either Kei or Yumi. The gameplay involves using various methods and weapons to catch them all. The game has many levels with different themes, such as a Haunted Castle, a Racing level, Jungle settings, TV studios and other settings. You can slow the animals down with various objects such as a stun club or a slingback shooter, and then you can capture them with a net.
             

              New to the series are the morphing abilities, eight in all. You can morph into various characters, like a knight and perform a powerful attack or a gun fighter and shoot em up or a ninja and run along walls. You can also vehicles such as a race car to knock down the monkeys. Other features are the familiar Monkeypedia and the unlockable Mesal Gear Solid mini-game (a Metal Gear Solid spoof).",Platform,,247,247,874,399,231
The Simpsons Arcade Game,1991-03-04,Konami,3.3,"The Simpsons is basically a side-scrolling beat-em-up featuring the characters from The Simpsons TV show. The player can choose to play as each of the four Simpson characters. Homer, who punches and kicks; Marge, who swings her vacuum cleaner; Bart, who wields his skateboard; and Lisa, who uses a jump rope as a whip. Other weapons such as hammers and bowling balls are also available to use.
             

              The game's levels are Downtown Springfield, Krustyland, Springfield Discount Cemetery, Moe's Tavern, Springfield Gorge, Dreamland, the Channel 6 studio, and the Power Plant. Each level ends with a boss whose speed and strength will increase after taking a certain amount of damage.
             

              Between levels, the player can compete against the other characters in two mini-games to be first to complete a task (inflating a balloon and waking up their character).",Arcade, Brawler,139,139,1500,82,76
Toy Story 2: Buzz Lightyear to the Rescue!,1999-11-22,"Activision, ""Travellers Tales""",3.4,"Woody has been stolen from the bedroom, ready to be sold to the highest bidder by an evil toy collector. It's up to good friend Buzz Lightyear to fight his way through from the bedroom to the outside world in order to save Woody from the toy market and bring him home. All of the character from the 3D animated movie appear through-out the side scroller to help Buzz get to where he is needed. Along with the use of his cannon, Buzz can jump to hard to reach places, also useful in collecting the hidden coins that open bonus levels.",Adventure, Platform,245,245,2300,262,117
Rayman Raving Rabbids,2006-11-19,"Ubisoft Entertainment, Ubisoft Montpellier",2.7,"Rayman Raving Rabbids marks the return of the iconic video-game hero, Rayman, in his funniest and zaniest adventure ever. When the world of Rayman is threatened by a devastating invasion of crazed, out-of-control bunnies Rayman must rise up against his furry foes to foil their wicked plans. Utilizing an array of amazing new abilities, and with the help of magical creatures, Rayman must break out all the moves to save his world from these delirious bunnies and their hare-raising antics.",Adventure, Platform,137,137,2700,191,63
Prototype 2,2012-04-24,"Activision, FUN Labs",3.0,"Prototype 2 is an open-world action game published by Activision and developed by Radical Entertainment. It's a direct sequel to Prototype and was announced at the 2010 Spike Video Game Awards.
             

              The events of Prototype 2 takes place in New York City, now known as New York Zero (NYZ), following Sgt. James Heller on his quest to destroy Alex Mercer, after having lost everything and everyone he loved to the Blacklight virus.",Adventure, Brawler,140,140,2400,408,198
MadWorld,2009-03-10,"Spike, PlatinumGames",3.5,"""MadWorld is a unique action game experience with two signature characteristics:
              
              An eye-catching, monochromatic visual style that’s yet to be matched; and sense-shattering, bone-shredding violence.
              

              Experience a unique blend of brutality, humor and madness in a graphic novel-style world that’s black and white and blood-red all over.
              

              In sharp contrast to what you’ve come to expect on the Wii, MadWorld was available in American and European markets almost a full year before it was finally allowed in Japan.""",Brawler,,283,283,1100,683,441
Call of Duty 3,2006-11-07,"Activision, Treyarch",2.8,"Call of Duty 3 delivers the intensity of World War II combat closer than ever. In this next-generation game, you'll experience the Normandy Breakout - the historic campaign that made the liberation of Paris possible and brought the Allies a step closer to Berlin.
             

              Travel with four ordinary Allied soldiers (American, British, Canadian and Polish) as they're thrust onto an authentic, living battlefield for unprecedented combat, with advanced High-Definition graphics, detailed Character animations and explosive on-screen action. Call Of Duty 3 delivers the most immersive and cinematically intense war experience ever. Team-based Multiplayer with vehicles for team-based combat with up to 24 players battling it out online Play as an infantryman, or commandeer multiple-occupancy vehicles like tanks, jeeps & motorcycles",Shooter,,231,231,2900,239,122
Shadow Warrior,2013-09-26,"Flying Wild Hog, Majesco Entertainment",3.2,Shadow Warrior is a bold reimagining of the 3D Realms' cult classic shooter from independent developer Flying Wild Hog (Hard Reset) starring the legendary and quick-witted warrior Lo Wang. Combine the brute force of overwhelming firepower with the elegant precision of a katana to annihilate the merciless armies of the shadow realm in an exhilarating and visually stunning transformation of the classic first-person shooter.,Adventure, Shooter,161,161,1700,571,114
Warcraft III: The Frozen Throne,2003-07-01,"Blizzard Entertainment, Sierra Entertainment",4.3,"Warcraft III: The Frozen Throne adds a host of new features to the game, including four new campaigns that take you across the frozen continent of Northrend. Explore new maps and master new units such as the Troll Bat Riders, the Blood Elf Spell Breakers, and the destructive Mountain Giants.",Real Time Strategy, Strategy,159,159,2600,181,73
Yakuza 4,2010-03-08,Sega,3.8,"Yakuza 4 is the fourth game in Sega's crime drama series, known as 'Ryu ga Gotoku' in Japan. As a first for the series, the story is split between the viewpoints of four different protagonists.",Adventure, Brawler,295,295,1400,596,255
Megami Ibunroku Persona,1996-09-20,Atlus,3.7,"While the West got Persona: Revelations, an Americanized port for the Playstation, Japan got its first Persona game under Megami Ibunroku Persona. The West eventually got a more faithful and enhanced remake on the Playstation Portable titled, Shin Megami Tensei: Persona with changed UI and music.
             

              This 1996 Atlus role-playing game takes you on an adventure throughout Mikage-cho, where your classmate, Maki Sonomura, suddenly goes missing. Battle against demons as you fight your way to the suspicious SEBEC branch president, Takahisa Kandori. Additionally, join the battle back at St. Hermelin and rival against the Snow Queen as she freezes the school and possesses your beloved homeroom teacher, Ms. Saeko.",RPG,,16,16,16,13,15
Persona 4 Arena,2012-03-01,"Arc System Works, Atlus",3.4,"Persona 4 Arena is a fighting video game developed for Japanese arcades and later ported to home consoles. Based on Atlus' Persona role-playing game series, Arena serves as a direct sequel to Persona 4 and features characters from its predecessor, Persona 3. Atlus wrote the story to the game while Arc System Works handled the gameplay.",Adventure, Fighting,195,195,1900,313,171
Scribblenauts,2009-09-15,"5th Cell, Konami",3.2,"What Will You Write?
             

              Help Maxwell reach the Starlite by solving each challenge. Write any object you can think of and watch it come to life. Try another word and watch an entirely different solution unfold. With your stylus and imagination, the possibilities are endless!",Puzzle,,151,151,3200,155,80
Rock Band 2,2008-09-14,"MTV Games, Harmonix Music Systems",4.0,"Rock Band 2 is the sequel to the 2007 musical simulation game Rock Band and offers similar gameplay. Directly competing with Guitar Hero: World Tour, the game allows different people to play together as in a band, with the same peripherals as the first game: lead guitar, bass guitar, microphone and a drum set.
              

              The new drum and guitar controllers for this version, bundled or sold separately, have been revised and older controllers are also supported. The guitar controller, modelled after the Fender Stratocaster, has five additional fret buttons near the neck, for fast fingertapping sessions. There is also an effect switch to toggle between five different effects. Players use the instruments to match notes on the screen, divided in different portions for different instruments, along with the lyrics for the singer who need to match the pitch.",Music,,180,180,2000,56,29
Armored Core 4,2006-12-21,"FromSoftware, Sega",3.7,"Armored Core, the mech action game that defined the mech genre is back to take on next-generation platforms! Armored Core 4 reinvigorates the brand by offering an all-new storyline, new environments, and online capability. The 10th anniversary of the acclaimed franchise is punctuated with a leap to next-generation platforms that will ensure a new quality level in both gameplay and visual performance.",Fighting,,92,92,252,232,162
Rez Infinite,2016-10-13,Enhance Games,4.0,"The ultimate version of Sega's psychodelic rail-shooter adventure Rez, fully remastered and evolved, including VR support and additional new content, all by members of the original development team",Music, Shooter,222,222,713,451,154
Plants vs. Zombies 2: It's About Time,2013-08-15,"Electronic Arts, PopCap Games",2.7,"Meet, greet and defeat legions of zombies from the dawn of time to the end of days. Amass an army of powerful plants, supercharge them with Plant Food and discover amazing ways to protect your brain. Play new limited-time levels for bite-sized battles against zombies from all worlds – and win prizes. It’s an ever-expanding universe of fun! And zombies – lots and lots of zombies.",Adventure, Real Time Strategy,80,80,2400,88,22
Cadence of Hyrule: Crypt of the NecroDancer Featuring the Legend of Zelda,2019-06-13,"Spike ChunSoft, Brace Yourself Games",3.6,"Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda is a rhythmic action-adventure game where you can enjoy the gameplay of Crypt of the NecroDancer in the setting of The Legend of Zelda series. As Link - or even as Princess Zelda - you'll explore the randomly generated overworld and procedurally generated dungeons on a quest to save Hyrule. Every beat of each remixed Legend of Zelda tune is a chance to move, attack, defend, and more, so stay one step ahead of each enemy and boss… or face the music.",Adventure, Music,269,269,1800,682,587
100% Orange Juice,2009-08-15,"Orange_Juice, Fruitbat Factory",3.4,"100% Orange Juice is a goal-oriented boardgame played by OrangeJuice's all-star cast including characters from Acceleration of Suguri, Flying Red Barrel: A Diary of Little Aviator, Sora, and QP Shooting.
             

              This is a world where dogs, people and machines fly through the air. In that world, a small patch of darkness was born. Infinitesimal at first, it gradually began to envelope everything...
             

              A youth named Kai, led by the mysterious life form known as Marie Poppo, begins a journey that will span worlds. The black, bottomless darkness of desire slowly eats away at both Kai and the world itself...
             

              Let Marie Poppo lead you into a mysterious world to play. Grab your deck of cards and let the games begin!",Card & Board Game, Indie,112,112,1800,292,89
Tekken 6,2007-11-26,Bandai Namco Entertainment,3.4,"Tekken 6 is a fighting game developed and published by Bandai Namco Games. It is the seventh main installment in the Tekken franchise. It was released in Japanese arcades on November 26, 2007 as the first game running on the PlayStation 3-based System 357 arcade board. The game received an update, subtitled Bloodline Rebellion, a year later.",Fighting,,235,235,2300,173,96
Mortal Kombat 3,1995-04-15,Midway Games,3.1,"Mortal Kombat 3 brings new elements to the 2D fighting series: multi-level playfields, ""Dial-A-Combo"" attacks, a ""Run"" button to speed up the battles, and ""Vs."" codes, which unlock new powers and abilities once both players enter a code sequence in pre-match-up screens. Also included are more stage fatalities and finishing moves as each warrior attempts to go one-on-one with the Centaurian enforcer Motaro, and Shao Kahn himself.",Fighting,,162,162,1700,85,41
Pokémon Mystery Dungeon: Explorers of Time,2007-09-13,"Chunsoft, Nintendo",4.0,"Embark on a journey after you get turned into a Pokémon as a result of a freak accident, causing you to lose your memory as well as contact with and knowledge of your previous adventuring partner, with whom you were on a secret mission to save the world. Watch your story unfold in a dungeon crawling rogue-lite experience as you form your very own rescue team with a new partner of your choosing.",Adventure, RPG,186,186,2300,345,136
Chulip,2002-10-03,Punchline,4.1,"You and your penniless father have just moved into a rural town famous for an ancient legend. It's been said that a couple who kisses underneath the old tree will be destined to live happily ever after. With your eyes set on a girl living in a nearby pipe...you set out on your quest. Filled with a new determination, you've sworn to yourself that you'll do whatever it takes to kiss this charming little girl underneath the ancient tree and spend the rest of your life with her.",Adventure, Puzzle,296,296,308,584,420
Crash Nitro Kart,2003-11-11,"Vicarious Visions, Universal Interactive Studios",3.1,"Crash Bandicoot returns to the karting scene with a host of other characters from the adventure series, and this time they have both Neo Cortex and Emperor Velo to worry about. Velo has taken the crew to a remote planet, forced to race for their lives against Neo Cortex and his many evil doers.
             

              Choose from various game modes, from the straight into the action Arcade mode to Adventure mode, following Crash and the gang in the story to save Earth. Race against four friends in multiplayer battle modes, plus connect to the Gamecube for extra options and upload your high scores to the internet ranking system.",Racing,,141,141,1700,139,52
Bubble Bobble,1986-06-16,"Sega, Taito Corporation",3.3,"In the game, each player controls one of the two Bubble Dragons, Bub and Bob. The player can move along platforms, as well as jump to those above and to the side, similar to most platform games.
             

              The player can also blow bubbles. These can trap enemies, who are defeated if the bubble is then burst by the player's spiny back. Bubbles that contain enemies can be popped at the same time resulting in different foods being projected around the level. Each enemy trapped in a bubble equates to a different food. Food is consumed and transferred to points (an increasing scale of 1000 points is awarded for each enemy burst in tandem with another meaning: one enemy burst equals one food item worth 1000 points, two enemies burst equals two food items worth 1000 and 2000 points, three enemies burst equals three food items worth 1000, 2000 and 4000 points, and so on), which results in earning lives. These same bubbles also float for a time before bursting, and can be jumped on, allowing access to otherwise inaccessible areas. Players progress to the next level once all enemies on the current level are defeated.
             

              Enemies turn ""angry"" — becoming pink-colored and moving faster — if they are the last enemy remaining, escape from a bubble after being left too long or a certain amount of time has been spent on the current level. A monster will also become angry if either player collects a skull (the only negative item in the game), and the monster is hit by the resulting comet crossing the screen (however, this is a rare occurrence).
             

              After a further time limit expires, an additional invincible enemy appears for each player, actively chasing them using only vertical and horizontal movements. These do not need to be defeated to complete the level, and disappear once a player's life is lost.
             

              Contact with enemies and their projectiles (rocks, lasers, fireballs, etc.) results in death.",Arcade, Platform,187,187,1400,110,57
Shantae: Half-Genie Hero,2016-12-20,"XSEED Games, WayForward Technologies",3.4,"Shantae embarks on her first full HD adventure! After three highly successful outings with Shantae, Shantae: Risky's Revenge, and Shantae and the Pirate's Curse, Shantae and her friends finally get a full HD console-based sequel! Boasting vivid, detailed high-definition graphics that retain the 2D hand-drawn sprites the series is known for, this newest entry in the Shantae series almost looks like a playable TV show! Presented as a stage-based 2.5D platformer with heavy exploration elements, Shantae uses her trademark Hair-Whip Attack to dispatch enemies, then takes advantage of her Belly Dance Magic to transform into 8 different forms that each have their own unique abilities and move sets. As new forms are mastered, old stages can be re-explored to unearth new items and secrets, ensuring there's plenty of content on offer for novices and platforming gurus alike. Topple the villainous Baron behind each criminal caper afflicting Sequin Land, and prepare for the ultimate showdown against Shantae's arch-nemesis: that bodacious buccaneer, Risky Boots!",Adventure, Indie,196,196,1500,562,289
Snake,1997-12-18,Nokia,3.1,"This is Nokia's version of Snake, installed on their mobile phones, starting on the Nokia 6110.
              
              The game was later ported in 2017 to be released for smartphones (Android/iOS) to be played on the Facebook Messenger app.",Arcade,,67,67,2400,26,9
Tales of Vesperia,2008-08-07,"Namco Tales Studio, Bandai Namco Entertainment",3.9,"Set in a world reliant on a mysterious ancient technology known as ""blastia,"" the game follows former knight Yuri as he delves into a shadowy plot to use these magical devices to control civilization, or destroy it. A bold new interpretation of the elements that made the Tales series a hit with gamers around the world, Tales of Vesperia promises a standard-setting RPG experience on the Xbox 360. Using an all-new graphics engine and character designs by the renowned Kosuke Fujishima (Ah! My Goddess, Sakura Taisen), the game delivers high-quality HD character models and environments that are indistinguishable from traditional cel-based anime.",RPG,,196,196,1100,490,199
Mega Man X8,2004-12-07,"Capcom Production Studio 1, Capcom",3.3,"Mega Man X 8 adds more depth and variety to this classic gaming series. With Earth in ruins after Sigma's invasion, humanity builds a new kind of reploid to colonize the moon. Sigma has corrupted their DNA and made them turn on humans. You and your teammates head to the moon for outer-space adventure of epic proportions!",Adventure, Platform,239,239,1400,438,140
Fire Emblem: New Mystery of the Emblem,2010-07-15,"Intelligent Systems Co., Ltd., Nintendo",3.7,"Fire Emblem: New Mystery of the Emblem is a remake of Fire Emblem: Mystery of the Emblem, developed by Intelligent Systems and published by Nintendo. It is the second Fire Emblem remake for the Nintendo DS. It was released on July 15, 2010 in Japan. The game utilizes the Wi-Fi Connection in a similar manner to Shadow Dragon. This is the only Fire Emblem DS game to not be released overseas.
             

              The game also contains an exclusive mode which remakes the four chapters of BS Fire Emblem: Archanea Senki Hen, a Satellaview exclusive game, with new new engine and mission-based gameplay (instead of time-based, like the original), but lacking the voice acting that the Satellaview version originally provided.",RPG, Strategy,246,246,848,503,212
Mario & Luigi: Superstar Saga + Bowser's Minions,2017-10-05,"Nintendo, AlphaDream",3.9,"""The game that launched the Mario & Luigi series returns looking better than ever before.
             

              In this renewed classic, Mario and Luigi journey to the Beanbean Kingdom with Bowser to restore Princess Peach’s voice. Control Mario and Luigi simultaneously, making use of their unique Bros. Moves to solve puzzles and emerge victorious in action-packed battles. Pay heed to the enemy’s patterns and time your reactions right to land satisfying counterblows.
             

              Included in this remake is the Minion Quest: The Search for Bowser mode, which tells the story of the game from the perspective of Bowser’s minions. Recruit characters to grow your own Minion army as you fight to locate your missing leader!""",Adventure, Platform,201,201,1100,477,201
Suikoden,1995-12-15,"Konami Computer Entertainment Tokyo, Konami",3.6,"Treachery is eating like a maggot at the heart of the Scarlet Moon Empire. But is the Empire corrupt or the people just disloyal? Only you can find out. Take the role of an Imperial Guard in this epic tale of betrayal, greed and honour as he struggles to find the truth. Head teams of fighters and magicians in battles against weird monsters then lead an army into battle against awesome opponents.",RPG,,270,270,933,776,360
Binary Domain,2012-02-16,"Sega, Ryū Ga Gotoku Studios",3.5,"The Machine Age has begun in the immersive and atmospheric squad-based shooter Binary Domain. Regain control of a futuristic Tokyo from an emerging robotic threat in the year 2080. The story starts when Dan Marshall and his squad are sent to bring the robotic community under control as they begin to infiltrate society and slowly take over undetected, leaving humans redundant in their wake. Fighting through the derelict lower levels of the city, players control an international peace-keeping squad that soon starts to question their surroundings and the choices they make. Are the robots becoming more human, or are humans becoming more like machines?
             

              Thrilling encounters with these highly intelligent robotic enemies require you to think tactically, make challenging, real-time moral decisions and build up trust with your team mates in order to guide your squad to safety and success.",Shooter,,234,234,1100,598,192
Shin Megami Tensei: Devil Survivor,2009-01-15,"Atlus, Ghostlight Ltd.",3.9,"Tokyo is in full lockdown, the government's swift, coldblooded response to a surprise demon invasion. Trapped within the sprawling metropolis is the city's helpless populace, forced to turn on each other in order to survive. A mysterious piece of technology, the COMP, falls into the hands of you and your peers. This device allows you to form contracts, forcing demons to serve you in battle against the otherworldly creatures. There are others with COMPs, so-called demon tamers, who seek to use the demons to satisfy their own whims-be they for justice, peace, or power-in the chaos that was once downtown Tokyo. Where did the demons come from? Why did they appear? Who created the COMPs, and what is their purpose? These questions must soon be answered, for if you fail to solve the mystery, much more is at stake than your own lives.",RPG, Strategy,219,219,1000,667,343
JoJo's Bizarre Adventure: Eyes of Heaven,2015-12-17,"CyberConnect2, Bandai Namco Entertainment",2.8,"JoJo’s Bizarre Adventure: Eyes of Heaven is an upcoming Japanese fighting game based on the long-running JoJo's Bizarre Adventure manga franchise. Eyes of Heaven is designed to be a 3D action brawler with tag-team elements set in large arenas based on locations in the manga. Players may pick a single character to control in a large environment, as well as a second character that may be controlled by either a CPU or second human player to fight the enemy team for a 2v2 battle. Like in All-Star Battle characters are categorized by fighting styles, which currently includes Hamon, Ogre Street Techniques, Vampiric, German Science, Mode, Stand and Mounted.",Arcade, Fighting,106,106,1700,276,196
Audiosurf,2008-02-15,"Valve, Invisible Handlebar",3.2,"Audiosurf is a puzzle/rhythm hybrid game created by Invisible Handlebar, a personal company created by Dylan Fitterer. It's track-like stages visually mimic the music the player chooses, while the player races across several lanes collecting colored blocks that appear in sync with the music. The music used in the game is chosen from the user's own library, from almost any DRM-free format, as well as standard redbook CDs; in addition, Audiosurf includes the entire soundtrack to The Orange Box as part of the download.",Indie, Music,82,82,1600,77,27
Better Call Saul Kart,2022-09-30,Big Trash Games,4.2,Join Saul Goodman and his friends in this high speed wacky kart racing game. Big Trash Games promises that this is indeed a video game that can be played by humans.,Racing,,8,8,26,10,12
The Secret of Monkey Island,1990-10-01,"Lucasfilm Games, JVC Musical Industries",4.1,"I cursed my luck again as I slid down the monkey's throat. Have my dreams of guzzling grog and plundering galleons been reduced to this? ""Three small trials and you're a pirate like us,"" they said. Fair enough. If only I could stomach the foul brew these scurvy seadogs swilled, the rest would be easy. How could I have known I'd meet a powerful and beautiful woman with a jealous suitor too stupid to realize he'd been dead for years? And how can I crawl through this great stone monkey to find a man who walks three inches above the ground and sets fire to his beard every morning?
             

              Do business with quaint and humble shopkeepers. Participate in complex and meaningful dialogues. Visit interesting places and steal stuff. Experience the never-ending nightlife of Melee Island.",Adventure, Point-and-Click,312,312,1400,418,298
Resistance: Fall of Man,2006-11-11,"Insomniac Games, Sony Computer Entertainment, Inc. (SCEI)",3.0,"In an alternate 1951, Sgt. Nathan Hale is among a unit of US soldiers sent to aid the British military against the invading aliens, known as Chimera. When Hale's unit is completely wiped out in a surprise attack, he struggles for survival...",Adventure, Shooter,194,194,1300,280,119
Sniper Elite 4,2017-02-13,"Sold Out Sales & Marketing, Rebellion Developments",3.1,"Sniper Elite 4 combines genre-defining ballistics, breathless emergent stealth, and gripping third person action across the largest and most diverse environments ever seen in a Sniper Elite game.
             

              Set in the aftermath of its award-winning predecessor, Sniper Elite 4 continues the series’ World War Two heritage by transporting players across the beautiful Italian peninsula, from sun-drenched Mediterranean coastal towns, to colossal Nazi mega structures, daunting forests and giddying mountain monasteries inspired by Monte Cassino.
             

              Covert agent and elite marksman Karl Fairburne must fight alongside the brave men and women of the Italian Resistance to help free their country from the yoke of Fascism, and defeat a terrifying new threat with the potential to halt the Allied fightback in Europe before it’s even begun.
             

              If his mission fails, there will be no Operation Overlord, no D-Day landings, and no Victory in Europe.",Adventure, Shooter,184,184,1500,483,108
Metal Gear Solid HD Collection,2011-11-08,"Kojima Productions, Konami",4.5,"From the critically acclaimed director, Hideo Kojima, Metal Gear Solid HD Collection offers a handful of the most popular Metal Gear Solid titles from the past in true HD for the first time ever. Featuring three complete games, Metal Gear Solid 2: Sons of Liberty, Metal Gear Solid: Snake Eater and Metal Gear Solid: Peace Walker, the HD Collection offers old and new fans a chance to experience the epic game play, design and storytelling of the MGS franchise. The ""Metal Gear Solid (MGS)"" series is the seminal work of Hideo Kojima, Japan's master game creator, and the progenitor of the stealth action game genre. The series has become a global phenomenon, with over 27 million copies sold worldwide. The player controls a secret agent from an elite special forces unit who is sent on solo sneaking missions through enemy installations, vast jungles, and sometimes even the thick of battle. Alone and surrounded by the enemy, even a special forces agent will find it tough to come out alive. But that is the secret behind the series' popularity-the cerebral challenge of figuring out how to avoid combat, and the thrill of sneaking through enemy territory undetected.The MGS series is also known for its storyline, which blends seamlessly with the gameplay. The scenarios are based on extensive research and incorporate the drama of actual developments in society. These elements have made MGS what it is today: a mature work of entertainment that transcends national borders and the confines of video games, and one of the leading products of the Japanese content business.",Adventure, Strategy,118,118,1500,464,230
The Simpsons: Road Rage,2001-11-19,"Electronic Arts, Fox Interactive",2.9,"The Simpsons: Road Rage is similar to Sega's 1999 video game Crazy Taxi, in that the main objective is to drive picked up passengers to their destinations as quickly as possible. The player receives money upon successfully dropping off each passenger, and bonuses are obtained when they are transported in a short amount of time. Players have to avoid certain hurdles, such as other vehicles and Burns' nuclear transit buses.
             

              The game contains sixteen different collectible vehicles, six starting locations, and ten different missions. In order to collect the vehicles and unlock starting locations, players must earn progressively more money for each vehicle or starting location they want to get.",Racing,,103,103,1700,146,61
Melty Blood Actress Again Current Code,2010-07-29,"Arc System Works, French Bread",4.1,"The Sega RingWide and Windows port of Melty Blood Actress Again, originally for the PS2, updated with new characters, a rebalanced roster and some gameplay tweaks. It is the last game in the original Melty Blood series which follows the events of Tsukihime. Melty Blood Actress Again Current Code is an anime fighter with a strong emphasis on movement and featuring Moon styles, giving each of the 31 characters in the roster three different movesets with differing system mechanics. The Arcade mode has the same story as Actress Again, with the addition of new stories for characters new to Current Code (Powered Ciel and Archetype-Earth), duo characters who were without one (Neco & Mech and Kohaku & Mech), and Riesbyfe Stridberg, who gained an unlockable alternative route.",Arcade, Fighting,242,242,1900,211,184
Path of Exile,2013-10-23,Grinding Gear Games,3.3,"You are an Exile, struggling to survive on the dark continent of Wraeclast, as you fight to earn power that will allow you to exact your revenge against those who wronged you. Created by hardcore gamers, Path of Exile is an online Action RPG set in a dark fantasy world.",Adventure, Brawler,130,130,2400,319,55
Machinarium,2009-10-16,Amanita Design,3.7,Machinarium is award-winning independent adventure game developed by the makers of Samorost and Botanicula. A little robot who’s been thrown out to the scrap yard behind the city must return and confront the Black Cap Brotherhood and save his robot-girl friend.,Adventure, Indie,222,222,1600,473,242
Guacamelee!,2013-04-09,"Drinkbox Studios, Spike ChunSoft",3.5,"""Guacamelee! is a Metroid-vania style action-platformer set in a magical Mexican inspired world.
             

              The game draws its inspiration from traditional Mexican culture and folklore, and features many interesting and unique characters. Guacamelee! builds upon the classic open-world Metroid-vania style of games, by adding a strong melee combat component, a new dimension switching mechanic, and cooperative same-screen multiplayer for the entire story. The game also blurs the boundaries between combat and platforming by making many of the moves useful and necessary for both of these.
             

              Travel through a mystical and mysterious Mexican world as a Luchador using the power of your two fists to battle evil. Uncover hidden wrestling techniques like the Rooster Uppercut, and Dimension Swap to open new areas and secrets.""
             

              Guacamelee! was later released on PC under the name ""Guacamelee! Gold Edition"" with the DLC included and has an updated version called ""Guacamelee! Super Turbo Championship Edition"" with an expended story, 2 new areas, and a new boss.",Adventure, Brawler,191,191,1800,371,133
Tales of Zestiria,2015-01-22,"Bandai Namco Entertainment, tri-Crescendo",2.7,"Tales of Zestiria is a Japanese role-playing game. It is the fifteenth main entry in the Tales series. As with previous entries in the Tales series, the game uses a variation of the action-based Linear Motion Battle System, with additional elements including a navigable open world, and the ability for certain characters to fuse into a single entity in battle to deliver powerful attacks. The story follows Sorey, a young man blessed with powers by a mystical spirit race known as the Seraphim who act as a stabilizing force in the land, as he travels to free the land of Glenwood from the threat of the Hellion, creatures spawned by negative emotions.",RPG,,273,273,1700,1000,264
